trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
T2020,04:57:00,04:57:00,SKP,1,0,0,1
T2020,05:03:00,05:03:00,MDZ,2,0,0,1
T2020,05:12:00,05:12:00,ILN,3,0,0,1
T2020,05:19:00,05:19:00,MLD,4,0,0,1
T2020,05:23:00,05:23:00,DLJ,5,0,0,1
T2020,05:27:00,05:27:00,AGS,6,0,0,1
T2020,05:31:00,05:31:00,RMN,7,0,0,1
T2020,05:35:00,05:35:00,PVJ,8,0,0,1
T2020,05:40:00,05:40:00,KMN,9,0,0,1
T2022,16:45:00,16:45:00,SKP,1,0,0,1
T2022,16:51:00,16:51:00,MDZ,2,0,0,1
T2022,17:00:00,17:00:00,ILN,3,0,0,1
T2022,17:07:00,17:07:00,MLD,4,0,0,1
T2022,17:11:00,17:11:00,DLJ,5,0,0,1
T2022,17:15:00,17:15:00,AGS,6,0,0,1
T2022,17:19:00,17:19:00,RMN,7,0,0,1
T2022,17:23:00,17:23:00,PVJ,8,0,0,1
T2022,17:28:00,17:28:00,KMN,9,0,0,1
T2021,06:00:00,06:00:00,KMN,1,0,0,1
T2021,06:05:00,06:05:00,PVJ,2,0,0,1
T2021,06:09:00,06:09:00,RMN,3,0,0,1
T2021,06:13:00,06:13:00,AGS,4,0,0,1
T2021,06:17:00,06:17:00,DLJ,5,0,0,1
T2021,06:22:00,06:22:00,MLD,6,0,0,1
T2021,06:29:00,06:29:00,ILN,7,0,0,1
T2021,06:38:00,06:38:00,MDZ,8,0,0,1
T2021,06:43:00,06:43:00,SKP,9,0,0,1
T2023,17:50:00,17:50:00,KMN,1,0,0,1
T2023,17:55:00,17:55:00,PVJ,2,0,0,1
T2023,17:59:00,17:59:00,RMN,3,0,0,1
T2023,18:03:00,18:03:00,AGS,4,0,0,1
T2023,18:07:00,18:07:00,DLJ,5,0,0,1
T2023,18:12:00,18:12:00,MLD,6,0,0,1
T2023,18:19:00,18:19:00,ILN,7,0,0,1
T2023,18:28:00,18:28:00,MDZ,8,0,0,1
T2023,18:33:00,18:33:00,SKP,9,0,0,1
T601,08:00:00,08:00:00,SKP,1,0,0,1
T601,08:06:00,08:06:00,LSC,2,0,0,1
T601,08:12:00,08:12:00,DRC,3,0,0,1
T601,08:17:00,08:17:00,JSN,4,0,0,1
T601,08:19:00,08:19:00,ORE,5,0,0,1
T601,08:22:00,08:22:00,ZNV,6,0,0,1
T601,08:25:00,08:25:00,ZNK,7,0,0,1
T601,08:29:00,08:29:00,SMS,8,0,0,1
T601,08:37:00,08:37:00,PCN,9,0,0,1
T601,08:42:00,08:42:00,RJZ,10,0,0,1
T601,08:52:00,08:52:00,VLS,11,0,0,1
T2081,13:20:00,13:20:00,SKP,1,0,0,1
T2081,13:26:00,13:26:00,LSC,2,0,0,1
T2081,13:32:00,13:32:00,DRC,3,0,0,1
T2081,13:37:00,13:37:00,JSN,4,0,0,1
T2081,13:39:00,13:39:00,ORE,5,0,0,1
T2081,13:42:00,13:42:00,ZNV,6,0,0,1
T2081,13:45:00,13:45:00,ZNK,7,0,0,1
T2081,13:49:00,13:49:00,SMS,8,0,0,1
T2081,13:57:00,13:57:00,PCN,9,0,0,1
T2081,14:02:00,14:02:00,RJZ,10,0,0,1
T2081,14:12:00,14:12:00,VLS,11,0,0,1
T2083,22:40:00,22:40:00,SKP,1,0,0,1
T2083,22:46:00,22:46:00,LSC,2,0,0,1
T2083,22:52:00,22:52:00,DRC,3,0,0,1
T2083,22:57:00,22:57:00,JSN,4,0,0,1
T2083,22:59:00,22:59:00,ORE,5,0,0,1
T2083,23:02:00,23:02:00,ZNV,6,0,0,1
T2083,23:05:00,23:05:00,ZNK,7,0,0,1
T2083,23:09:00,23:09:00,SMS,8,0,0,1
T2083,23:17:00,23:17:00,PCN,9,0,0,1
T2083,23:22:00,23:22:00,RJZ,10,0,0,1
T2083,23:32:00,23:32:00,VLS,11,0,0,1
T600,05:00:00,05:00:00,VLS,1,0,0,1
T600,05:10:00,05:10:00,RJZ,2,0,0,1
T600,05:15:00,05:15:00,PCN,3,0,0,1
T600,05:23:00,05:23:00,SMS,4,0,0,1
T600,05:28:00,05:28:00,ZNK,5,0,0,1
T600,05:30:00,05:30:00,ZNV,6,0,0,1
T600,05:33:00,05:33:00,ORE,7,0,0,1
T600,05:35:00,05:35:00,JSN,8,0,0,1
T600,05:41:00,05:41:00,DRC,9,0,0,1
T600,05:47:00,05:47:00,LSC,10,0,0,1
T600,05:52:00,05:52:00,SKP,11,0,0,1
T2080,12:10:00,12:10:00,VLS,1,0,0,1
T2080,12:20:00,12:20:00,RJZ,2,0,0,1
T2080,12:25:00,12:25:00,PCN,3,0,0,1
T2080,12:33:00,12:33:00,SMS,4,0,0,1
T2080,12:38:00,12:38:00,ZNK,5,0,0,1
T2080,12:40:00,12:40:00,ZNV,6,0,0,1
T2080,12:43:00,12:43:00,ORE,7,0,0,1
T2080,12:45:00,12:45:00,JSN,8,0,0,1
T2080,12:51:00,12:51:00,DRC,9,0,0,1
T2080,12:57:00,12:57:00,LSC,10,0,0,1
T2080,13:02:00,13:02:00,SKP,11,0,0,1
T2082,14:24:00,14:24:00,VLS,1,0,0,1
T2082,14:34:00,14:34:00,RJZ,2,0,0,1
T2082,14:39:00,14:39:00,PCN,3,0,0,1
T2082,14:47:00,14:47:00,SMS,4,0,0,1
T2082,14:56:00,14:56:00,ZNK,5,0,0,1
T2082,14:58:00,14:58:00,ZNV,6,0,0,1
T2082,15:01:00,15:01:00,ORE,7,0,0,1
T2082,15:03:00,15:03:00,JSN,8,0,0,1
T2082,15:09:00,15:09:00,DRC,9,0,0,1
T2082,15:15:00,15:15:00,LSC,10,0,0,1
T2082,15:20:00,15:20:00,SKP,11,0,0,1
