table_name,field_name,language,translation,record_id,record_sub_id,tts_translation
stops,stop_name,en,Skopje,SKP,,
stops,stop_name,en,Lisiče,LSC,,
stops,stop_name,en,Dračevo,DRC,,
stops,stop_name,en,Jane Sandanski,JSN,,
stops,stop_name,en,Oreshani,ORE,,
stops,stop_name,en,Zelenikovo Novo,ZNV,,
stops,stop_name,en,Zelenikovo,ZNK,,
stops,stop_name,en,Smesnitsa,SMS,,
stops,stop_name,en,Kadina Reka,KDR,,
stops,stop_name,en,Pchinja,PCN,,
stops,stop_name,en,Rajko Jinzifov,RJZ,,
stops,stop_name,en,Veles,VLS,,
stops,stop_name,en,Zgropoltsi,ZGR,,
stops,stop_name,en,Nogaevci,NGV,,
stops,stop_name,en,Viničani,VNC,,
stops,stop_name,en,Gradsko,GRD,,
stops,stop_name,en,Stobi,STB,,
stops,stop_name,en,Kukurichani,KKR,,
stops,stop_name,en,Crveni Bregovi,CRB,,
stops,stop_name,en,Krivolak,KRV,,
stops,stop_name,en,Negotino Vardar,NGT,,
stops,stop_name,en,Dubrovo,DBR,,
stops,stop_name,en,Demir Kapija,DMK,,
stops,stop_name,en,Klisura,KLS,,
stops,stop_name,en,Miravci,MRV,,
stops,stop_name,en,Miletkovo,MLT,,
stops,stop_name,en,Smokvica Nova,SNV,,
stops,stop_name,en,Smokvica,SMK,,
stops,stop_name,en,Prdejci,PRD,,
stops,stop_name,en,Gevgelija,GVG,,
stops,stop_name,en,Čaška,CSK,,
stops,stop_name,en,Prevalec,PRV,,
stops,stop_name,en,Topolka,TPL,,
stops,stop_name,en,Stari Grad,SGD,,
stops,stop_name,en,Martoltsi,MRT,,
stops,stop_name,en,Vasil Antevski,VAN,,
stops,stop_name,en,Teovo,TVO,,
stops,stop_name,en,Sogle,SGL,,
stops,stop_name,en,Bistrica,BST,,
stops,stop_name,en,Bogomila,BGM,,
stops,stop_name,en,Oreše,ORS,,
stops,stop_name,en,Gostiražni,GSR,,
stops,stop_name,en,Slepče,SLP,,
stops,stop_name,en,Brailovo,BRV,,
stops,stop_name,en,Senokos,SNK,,
stops,stop_name,en,Prilep,PLP,,
stops,stop_name,en,Galitchani,GLC,,
stops,stop_name,en,Zagorani,ZGN,,
stops,stop_name,en,Bakarno Gumno,BKG,,
stops,stop_name,en,Trojkrsti,TRK,,
stops,stop_name,en,Novoselani,NVS,,
stops,stop_name,en,Loznani,LZN,,
stops,stop_name,en,Vasharejca,VSJ,,
stops,stop_name,en,Bitola,BTL,,
stops,stop_name,en,Kravari,KRR,,
stops,stop_name,en,Zhabeni,ZBN,,
stops,stop_name,en,Železarnica,ZLN,,
stops,stop_name,en,Skopje Sever,SKS,,
stops,stop_name,en,Gjorče Petrov,GPC,,
stops,stop_name,en,Saraj,SRJ,,
stops,stop_name,en,Sulari,SUL,,
stops,stop_name,en,Raduša,RDS,,
stops,stop_name,en,Orašje,ORJ,,
stops,stop_name,en,Jegunovce,JGN,,
stops,stop_name,en,Jegunovce Fabrika,JGF,,
stops,stop_name,en,Ratae,RTJ,,
stops,stop_name,en,Tetovo,TTV,,
stops,stop_name,en,Brvenica,BRN,,
stops,stop_name,en,Žerovjane,ZRV,,
stops,stop_name,en,Vranovci,VRN,,
stops,stop_name,en,Gostivar,GST,,
stops,stop_name,en,Lakavica,LKV,,
stops,stop_name,en,Padalište,PDL,,
stops,stop_name,en,Zajas,ZJS,,
stops,stop_name,en,Strogomishte,STG,,
stops,stop_name,en,Dlapkin Dol,DPD,,
stops,stop_name,en,Kičevo,KCV,,
stops,stop_name,en,Madzhari,MDZ,,
stops,stop_name,en,Ilinden,ILN,,
stops,stop_name,en,Miladinovci,MLD,,
stops,stop_name,en,Deljadrovci,DLJ,,
stops,stop_name,en,Agino Selo,AGS,,
stops,stop_name,en,Romanovce,RMN,,
stops,stop_name,en,Prevoj,PVJ,,
stops,stop_name,en,Kumanovo,KMN,,
stops,stop_name,en,Karposh,KRP,,
stops,stop_name,en,Tabanovce,TBN,,
stops,stop_name,en,Košulčevi,KSL,,
stops,stop_name,en,Jazla,JZL,,
stops,stop_name,en,Tosho Arsov,TAR,,
stops,stop_name,en,Orce,ORC,,
stops,stop_name,en,Ovče Pole,OVP,,
stops,stop_name,en,Štip,STP,,
stops,stop_name,en,Balvan,BLV,,
stops,stop_name,en,Vančo Prke,VNP,,
stops,stop_name,en,Zletovica,ZLT,,
stops,stop_name,en,Sokolarci,SKL,,
stops,stop_name,en,Obleshevo,OBL,,
stops,stop_name,en,Kočani,KCN,,
stops,stop_name,en,Beljakovce,BLK,,
stops,stop_name,en,Shuplji Kamen,SPK,,
stops,stop_name,en,Novo Kumanovo,NKM,,
stops,stop_name,en,Volkovo,VLK,,
routes,route_long_name,en,Skopje – Kumanovo,R1,,
routes,route_long_name,en,Skopje – Veles,R2,,
routes,route_long_name,en,Skopje – Gevgelija,R3,,
routes,route_long_name,en,Skopje – Bitola,R4,,
agency,agency_name,en,North Macedonia Railways Transport JSC Skopje,MZT,,
