route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
R1,weekdays_no_sunday,T2020,Куманово,2020,0,shape_R1_0
R1,weekdays_no_sunday,T2022,Куманово,2022,0,shape_R1_0
R1,weekdays_no_sunday,T2021,Скопје,2021,1,shape_R1_1
R1,weekdays_no_sunday,T2023,Скопје,2023,1,shape_R1_1
R2,weekdays_no_sunday,T601,Велес,601,0,shape_R2_0
R2,daily,T2083,Велес,2083,0,shape_R2_0
R2,daily,T600,Скопје,600,1,shape_R2_1
R2,weekdays_no_sunday,T2080,Скопје,2080,1,shape_R2_1
R3,daily,T611,Гевгелија,611,0,shape_R3_0
R3,daily,T631,Гевгелија,631,0,shape_R3_0
R3,daily,T630,Скопје,630,1,shape_R3_1
R3,daily,T632,Скопје,632,1,shape_R3_1
R4,daily,T641,Жабени,641,0,shape_R4_0_zabeni
R4,daily,T643,Битола,643,0,shape_R4_0_bitola
R4,daily,T645,Битола,645,0,shape_R4_0_bitola
R4,daily,T640,Скопје,640,1,shape_R4_1_bitola
R4,daily,T642,Скопје,642,1,shape_R4_1_zabeni
R4,daily,T644,Скопје,644,1,shape_R4_1_bitola
R5,daily,T3081,Зелениково,3081,0,shape_R5_0
R5,daily,T3083,Зелениково,3083,0,shape_R5_0
R5,daily,T3085,Зелениково,3085,0,shape_R5_0
R5,daily,T3087,Зелениково,3087,0,shape_R5_0
R5,daily,T3089,Зелениково,3089,0,shape_R5_0
R5,daily,T3181,Зелениково,3181,0,shape_R5_0
R5,daily,T3183,Зелениково,3183,0,shape_R5_0
R5,daily,T3185,Зелениково,3185,0,shape_R5_0
R5,daily,T3080,Скопје,3080,1,shape_R5_1
R5,daily,T3082,Скопје,3082,1,shape_R5_1
R5,daily,T3084,Скопје,3084,1,shape_R5_1
R5,daily,T3086,Скопје,3086,1,shape_R5_1
R5,daily,T3088,Скопје,3088,1,shape_R5_1
R5,daily,T3180,Скопје,3180,1,shape_R5_1
R5,daily,T3182,Скопје,3182,1,shape_R5_1
R5,daily,T3184,Скопје,3184,1,shape_R5_1
